mdc\.addr,mdc\.click,mdc\.request\.id
84.225.164.40,2486489741,2779944954971
82.14.244.124,2486575441,2780082549345
95.121.34.80,2486554103,2780091417487
79.25.205.113,2486595149,2780050047544
91.116.33.207,2486591238,2779924446086
79.25.205.113,2486504569,2779895420011
91.173.193.195,2486602114,2779931653134
91.173.79.242,2486577317,2780123213193
95.245.66.170,2486499542,2780006860265
90.249.207.206,2486542214,2780106894947
79.144.41.30,2486597121,2780095020911
149.50.164.136,2486434792,2780002062754
77.224.69.239,2486519505,2780069952890
89.243.53.37,2486467467,2779926301057
83.38.182.150,2486582244,2780082189559
86.190.253.147,2486438895,2780113613593
87.13.166.214,2486596163,2780087819252
91.60.197.4,2486489740,2779944954960
93.196.65.99,2486426918,2779938782735
86.9.69.138,2486503617,2779891102279
58.84.180.16,2486455631,2779939925304
185.222.7.36,2486546219,2779902017896
95.91.192.18,2486486768,2779904421863
109.76.247.228,2486428946,2779900818110
217.84.65.17,2486518487,2779935849678
84.225.73.164,2486421895,2779954799752
91.254.3.187,2486561038,2780096348924
37.167.57.74,2486575440,2780082549341
77.225.255.202,2486587213,2779942320129
179.6.82.21,2486447751,2779923009001
93.56.129.172,2486477893,2779925581076
89.8.68.175,2486591237,2779924446083
195.112.62.209,2486617019,2780071642374
62.56.16.229,2486450653,2779879947117
77.54.114.13,2486520444,2779958034010
151.82.174.64,2486556101,2779997736046
87.212.213.53,2486534367,2780086260818
139.47.117.121,2486614015,2780127409540
79.116.229.240,2486426915,2779938782713
176.185.128.144,2486468451,2780083625718
212.95.5.220,2486587212,2779942320126
81.249.11.159,2486430784,2779919414050
109.40.48.110,2486448669,2779921570717
88.97.165.210,2486616032,2780032649954
217.43.68.30,2486539258,2779953660624
176.80.137.64,2486577316,2780123213182
83.39.70.112,2486535313,2780082069207
31.16.17.197,2486437829,2779879707047
82.212.50.203,2486552107,2780065876007
94.193.97.158,2486448670,2779921570727
51.219.243.229,2486596162,2780087819241
95.254.168.232,2486537262,2780183790601
82.14.110.247,2486557049,2780031210056
83.53.184.19,2486429920,2780135805028
1.123.223.239,2486444766,2779949871380
72.230.75.13,2486580351,2779905981606
66.108.238.231,2486545132,2780123812963
37.166.36.121,2486419996,2779924206571
88.97.194.16,2486471334,2780077995445
79.193.188.129,2486540195,2779866507921
151.67.44.253,2486426917,2779938782733
201.219.209.157,2486553109,2779998585144
45.10.155.52,2486583286,2779979749423
172.56.221.163,2486481807,2779923607549
85.55.42.208,2486574419,2780084700769
176.187.51.122,2486542213,2780106894931
80.187.86.109,2486513535,2779994617765
86.164.234.177,2486581277,2780085309139
213.194.158.41,2486560040,2780030850314
85.255.235.158,2486553110,2779998585146
108.147.193.22,2486502653,2780032889710
90.59.56.143,2486468452,2780083625724
90.250.40.20,2486442788,2779952945425
84.247.45.152,2486426916,2779938782731
37.102.13.79,2486525403,2780081830633
88.94.116.50,2486573374,2780097660406
123.208.225.200,2486460603,2780081470880
47.152.125.82,2486504568,2779895420004
201.171.168.213,2486458571,2779926976507
83.225.53.144,2486499541,2780006860261
