mdc\.addr,mdc\.click,mdc\.request\.id
93.71.66.113,2486727670,2780230830159
92.59.78.100,2486782993,2780081852603
188.213.92.83,2486803747,2780048509731
212.228.173.187,2486839349,2780206843764
66.249.64.172, ,2779924947755
189.82.104.14,2486835310,2780221956028
67.87.83.197,2486743517,2779938804723
191.179.51.38,2486806734,2780050069471
93.176.130.30,2486748472,2779988165293
151.70.92.133,2486790937,2780077657765
149.224.217.48,2486847207,2780200124166
81.245.26.144,2486725624,2780031112201
78.197.232.228,2486708815,2780077538259
37.181.204.165,2486881069,2780224831711
88.13.46.146,2486770180,2780212478475
67.218.246.116,2486731612,2780032671811
128.127.119.123,2486715793,2780092638474
87.123.245.33,2486780963,2779938682080
81.38.247.25,2486765220,2780032911680
77.25.38.128,2486700905,2780086282708
73.13.73.138,2486772180,2779994759564
213.177.197.16,2486740601,2780211160098
94.205.100.131,2486766151,2779939947254
24.126.210.175,2486874124,2780069974768
95.210.9.65,2486755350,2780229991005
79.157.9.150,2486854041,2780212838339
85.144.255.88,2486803746,2780048509729
92.254.77.232,2486742519,2779940066788
90.83.15.45,2486717744,2780087841138
94.44.236.74,2486772179,2779994759559
109.118.95.29,2486722734,2779972568100
2.123.232.117,2486875058,2780124314137
172.56.73.22,2486843297,2779954702454
86.193.216.188,2486756328,2779944976959
109.43.48.94,2486784941,2780098041870
89.130.151.96,2486732669,2780318409291
193.57.38.53,2486809736,2780096962089
37.14.242.33,2486813679,2780084242068
66.249.64.75, ,2780082091181
178.191.136.233,2486738576,2779924228513
90.110.208.113,2486830419,2780140623353
79.157.249.98,2486811756,2780065897862
86.143.184.25,2486861044,2780125872980
81.131.6.34,2486716734,2779925307810
88.174.93.185,2486743518,2779938804732
94.73.39.142,2486887031,2779951587654
86.24.104.23,2486765219,2780032911659
83.56.136.15,2486705886,2780085331195
94.129.84.121,2486759272,2780229392659
46.26.128.166,2486723789,2780217758785
47.63.128.101,2486790936,2780077657756
189.76.235.103,2486739621,2780071664301
77.25.16.177,2486858101,2780229512337
76.67.148.27,2486709820,2779924468116
190.8.240.27,2486823538,2779954821709
92.135.215.158,2486700904,2780086282703
82.31.184.16,2486723790,2780217758791
94.57.73.52,2486847206,2780200124164
109.118.99.139,2486813678,2780084242058
37.116.153.101,2486706853,2779953202888
37.65.54.237,2486784940,2780098041863
86.18.33.48,2486826446,2780017433362
192.178.11.102, ,2780065897867
2.36.104.131,2486730650,2780073223700
188.61.91.162,2486770176,2780212478464
93.207.93.86,2486798856,2779953682637
124.168.153.80,2486846239,2779923868897
95.124.161.42,2486753398,2780002084712
190.9.244.50,2486816565,2780083292045
88.164.244.212,2486700903,2780086282700
189.92.227.57,2486809735,2780096962087
160.32.215.76,2486834355,2780093358105
194.207.198.191,2486790935,2780077657755
82.11.86.53,2486757365,2780099243334
151.95.176.154,2486799783,2780082211549
188.26.195.225,2486718652,2780123834958
2.140.228.102,2486799782,2780082211535
67.69.76.236,2486848137,2780081492728
5.81.174.10,2486843296,2779954702452
87.2.36.147,2486740602,2780211160104
103.85.36.160,2486852136,2780224711704
77.59.161.7,2486835308,2780221956021
117.20.68.130,2486810727,2779997758087
79.116.131.109,2486808723,2779950868252
79.238.177.250,2486814624,2780097802183
213.249.158.157,2486804828,2780095762432
2.155.120.126,2486712838,2780217279773
109.156.232.136,2486770178,2780212478467
94.109.103.107,2486737623,2780127431648
5.225.158.47,2486790934,2780077657746
92.169.4.118,2486875057,2780124314126
92.40.175.127,2486852135,2780224711687
176.190.208.13,2486843293,2779954702445
151.18.89.111,2486732668,2780318409273
179.144.63.151,2486810728,2779997758088
176.183.130.194,2486802770,2780122275810
