mdc\.addr,mdc\.click,mdc\.request\.id
190.60.36.59,2495709757,2782098820426
190.60.41.251,2495498780,2782235309902
190.60.41.251,2495606805,2782298344198
186.84.89.28,2495928051,2782239657398
190.249.184.235,2495513520,2782462260194
66.249.83.44, ,2782476179481
186.102.90.146,2495466782,2782188768845
191.106.143.136,2495839033,2782427807926
200.118.80.12,2495703991,2782420007410
181.206.100.186,2495741400,2782419773947
181.237.47.112,2495552808,2782328553010
181.51.32.42,2495608803,2782448453809
181.51.32.42,2495780340,2782311299997
191.92.51.126,2495659448,2782125166910
200.118.80.245,2495492907,2782244575578
191.92.51.126,2495636586,2782105257362
191.156.232.227,2495630553,2782347537752
191.92.51.126,2495709553,2782098816189
181.52.156.170,2495897001,2782365046604
45.175.20.131,2495712889,2782205578432
191.156.181.166,2495607897,2782420125872
191.156.43.126,2495659400,2782125165732
191.156.181.166,2495619507,2782300018959
179.1.76.50,2495806217,2782474491559
179.1.76.50,2495745330,2782224590398
186.145.8.166,2495478481,2782374295737
191.95.21.194,2495578632,2782385089758
179.1.76.50,2495523937,2782333491097
181.153.7.64,2495549651,2782365773209
209.14.115.29,2495651260,2782414121460
190.27.149.175,2495789040,2782210617190
190.27.149.175,2495798039,2782290060718
190.27.149.175,2495597652,2782367321331
190.27.149.175,2495477707,2782446041483
190.27.149.175,2495352980,2782372728572
190.27.149.175,2495765025,2782459727918
190.27.149.175,2495708687,2782428401749
209.14.115.29,2495583553,2782462252337
190.27.149.175,2495735108,2782313212691
190.27.149.175,2495751040,2782399007923
190.27.149.175,2495424664,2782188747060
190.27.149.175,2495261908,2782345732187
190.27.149.175,2495460388,2782354728224
190.27.149.175,2495755066,2782236056997
190.27.149.175,2495638245,2782470888034
190.27.149.175,2495442832,2782315853438
190.27.149.175,2495511307,2782428172204
190.27.149.175,2495471311,2782387612384
190.27.149.175,2495735106,2782313212574
190.27.149.175,2495438849,2782245966832
190.27.149.175,2495438848,2782245966827
190.27.149.175,2495782043,2782390373502
190.27.149.175,2495584633,2782423721136
190.27.149.175,2495442830,2782315853408
190.27.149.175,2495496335,2782433927926
190.27.149.175,2495530053,2782426492655
190.27.149.175,2495793029,2782459367949
190.27.149.175,2495551616,2782190561148
190.27.149.175,2495659149,2782125161222
190.27.149.175,2495572602,2782343681315
190.27.149.175,2495711607,2782054754342
190.27.149.175,2495784034,2782443647724
190.27.149.175,2495545673,2782281556908
190.27.149.175,2495367804,2782187921297
190.27.149.175,2495511302,2782428172092
190.27.149.175,2495508721,2782408487746
190.27.149.175,2495530044,2782426492562
190.27.149.175,2495708663,2782428401487
190.27.149.175,2495597634,2782367321034
190.27.149.175,2495638239,2782470887899
190.27.149.175,2495777052,2782455407561
190.27.149.175,2495493710,2782427801359
190.27.149.175,2495705664,2782099491677
190.27.149.175,2495592082,2782296535487
190.27.149.175,2495741071,2782419767929
190.27.149.175,2495759032,2782462847725
190.27.149.175,2495496328,2782433927803
190.27.149.175,2495415661,2782187906589
190.27.149.175,2495780043,2782311294237
190.27.149.175,2495719237,2782292703422
190.27.149.175,2495685087,2782452887676
190.27.149.175,2495741069,2782419767873
190.27.149.175,2495617281,2782362892192
190.27.149.175,2495798020,2782290060374
190.27.149.175,2495347689,2782287662691
190.27.149.175,2495466389,2782188761351
190.27.149.175,2495665093,2782411466318
190.27.149.175,2495791015,2782436447608
190.27.149.175,2495450620,2782239648876
190.27.149.175,2495628274,2782263219110
190.27.149.175,2495784025,2782443647590
190.27.149.175,2495412760,2782327012064
190.27.149.175,2495424643,2782188746746
190.27.149.175,2495477681,2782446041079
190.27.149.175,2495617278,2782362892127
190.27.149.175,2495663120,2781902850695
190.27.149.175,2495460379,2782354727932
190.27.149.175,2495711595,2782054754153
190.27.149.175,2495492599,2782244569681
190.27.149.175,2495601149,2782344292111
190.27.149.175,2495450618,2782239648817
190.27.149.175,2495651230,2782414120977
190.27.149.175,2495492598,2782244569672
190.27.149.175,2495723248,2782404994760
190.27.149.175,2495759023,2782462847600
190.27.149.175,2495638236,2782470887750
190.27.149.175,2495438831,2782245966578
190.27.149.175,2495477677,2782446041029
190.27.149.175,2495630279,2782347532079
190.27.149.175,2495510873,2782397801053
190.27.149.175,2495755045,2782236056678
190.27.149.175,2492157782,2782407291955
190.27.149.175,2495466380,2782188761279
190.27.149.175,2495524973,2782300854384
190.27.149.175,2495751021,2782399007553
190.27.149.175,2495466379,2782188761274
190.27.149.175,2495442813,2782315853129
190.27.149.175,2495590348,2782436807636
190.27.149.175,2495462842,2782390487914
190.27.149.175,2495711592,2782054754105
190.27.149.175,2495508711,2782408487531
190.27.149.175,2495578517,2782385087556
190.27.149.175,2495777035,2782455407333
190.27.149.175,2495468145,2782266331663
190.27.149.175,2495570227,2782409927899
190.27.149.175,2495705654,2782099491471
190.27.149.175,2495666125,2782310451195
190.27.149.175,2495784016,2782443647459
190.27.149.175,2495411276,2782434047437
190.27.149.175,2495759016,2782462847504
