,Created Time,Site,Partner Domain,OriginCity,DestinationCity,JourneyType,Out Date,Return Date,Num Adt,Num Cnn,Num Inf,Cabin Classes,Total Stops,ID,MarketingCarriers,Sessions ID,ID
1,2025-09-05 20:12:54,booking_es,booking,Alicante,Paris,One-Way,2025-09-12,,1,0,0,Y,,3558,FR,1580182523266,2486488735
2,2025-09-05 20:12:54,booking_de,booking,Alicante,Madrid,One-Way,2025-10-06,,1,0,0,Y,,2575,IB,1580206273876,2486542247
3,2025-09-05 20:12:54,booking_fr,booking,Paris,New York,Round-trip,2025-11-21,2025-11-28,1,0,0,Y,,3558,AA,1580186452193,2486557087
4,2025-09-05 20:12:54,booking_au,booking,Brisbane,Denpasar Bali,One-Way,2025-09-15,,1,0,0,Y,,3558,VA,1580239742726,2486560073
5,2025-09-05 20:12:54,booking_it,booking,Milan,New York,Round-trip,2025-09-21,2025-09-28,1,0,0,Y,,3558,AA,1580224298218,2486573408
6,2025-09-05 20:12:54,booking_es,booking,Madrid,Amsterdam,One-Way,2025-10-06,,1,0,0,Y,,3558,IB,1580199557019,2486584356
7,2025-09-05 20:12:54,booking_de,booking,Dusseldorf,Stockholm,Round-trip,2025-09-11,2025-09-12,1,0,0,Y,,2578,EW,1580287871537,2486586272
8,2025-09-05 20:12:54,booking_se,booking,Frankfurt,Tenerife,Round-trip,2026-03-31,2026-04-12,5,0,0,Y,,2578,IB,1580275429766,2486587244
9,2025-09-05 20:12:54,booking_au,booking,Perth,Bangkok,One-Way,2025-09-20,,1,0,0,Y,,3558,TR,1580223608009,2486617045
10,2025-09-05 20:12:54,booking_au,booking,Brisbane,Denpasar Bali,One-Way,2025-09-12,,1,0,0,Y,,3558,VA,1580234284877,2486421927
11,2025-09-05 20:12:54,booking_uk,booking,London,Colombo,One-Way,2025-09-17,,1,0,0,Y,,3558,AI,1580204684366,2486426952
12,2025-09-05 20:12:54,booking_es,booking,Madrid,New York,Round-trip,2025-09-21,2025-09-28,1,0,0,Y,,3558,BA,1580253897843,2486437862
13,2025-09-05 20:12:54,booking_es,booking,Barcelona,Porto,One-Way,2025-09-21,,1,0,0,Y,,3558,IB,1580206603940,2486440759
14,2025-09-05 20:12:54,booking_pl,booking,Rome,Auckland,Round-trip,2025-11-04,2026-01-27,2,0,0,Y,,2575,CA,1580212149839,2486447779
15,2025-09-05 20:12:54,booking_mx,booking,Cancun,Veracruz,Round-trip,2025-09-20,2025-09-25,1,0,0,Y,,2578,AM,1580295515440,2486460639
16,2025-09-05 20:12:54,booking_it,booking,Rome,Athens,Round-trip,2025-10-04,2025-10-11,1,0,0,Y,,2575,AZ,1580224807503,2486478897
17,2025-09-05 20:12:53,booking_es,booking,Ibiza,Bucharest,One-Way,2025-09-24,,1,0,0,Y,1,2578,"VY,W4",1580301119501,2486421926
18,2025-09-05 20:12:53,booking_it,booking,Rome,Sharm El Sheikh,Round-trip,2025-11-21,2025-11-28,1,0,0,Y,,3558,W4,1580253897839,2486437861
19,2025-09-05 20:12:53,booking_de,booking,Munich,Palma Mallorca,Round-trip,2025-10-06,2025-10-13,1,0,0,Y,,3558,"DE,EW",1580180723949,2486452717
20,2025-09-05 20:12:53,booking_fr,booking,Algiers,Vancouver,Round-trip,2025-09-12,2025-09-24,1,0,0,Y,,4965,"AC,LH",1580294613904,2486455665
21,2025-09-05 20:12:53,booking_de,booking,Athens,Beirut,One-Way,2025-09-06,,1,0,0,Y,,2575,ME,1580206334049,2486460638
22,2025-09-05 20:12:53,booking_es,booking,Barcelona,Ibiza,One-Way,2025-10-08,,2,0,0,Y,,5010,VY,1580289281933,2486488734
23,2025-09-05 20:12:53,booking_de,booking,Berlin,Lisbon,Round-trip,2025-10-02,2025-10-08,1,0,0,Y,,2576,SN,1580224499879,2486499570
24,2025-09-05 20:12:53,booking_uk,booking,London,Munich,One-Way,2025-09-21,,1,0,0,Y,,3558,SN,1580198237757,2486500583
25,2025-09-05 20:12:53,booking_fr,booking,Nantes,Gothenburg,Round-trip,2025-09-10,2025-09-10,1,0,0,Y,,1526,"AF,KL",1580227207657,2486547210
26,2025-09-05 20:12:53,booking_fr,booking,Paris,Venice,Round-trip,2025-10-22,2025-11-02,1,0,0,Y,,2575,AF,1580183662041,2486557086
27,2025-09-05 20:12:53,booking_de,booking,Frankfurt,Bangkok,Round-trip,2026-01-05,2026-01-19,1,0,0,Y,,2575,TK,1580206004051,2486559070
28,2025-09-05 20:12:53,booking_us,booking,Dallas/Fort Worth,Las Vegas,Round-trip,2025-09-25,2025-09-29,1,0,0,Y,,2575,F9,1580143747834,2486574444
29,2025-09-05 20:12:53,booking_au,booking,Adelaide,Melbourne,One-Way,2025-09-28,,1,0,0,Y,,3558,JQ,1580205134165,2486574445
