Created Time,Site,Partner Domain,OriginCity,DestinationCity,JourneyType,Out Date,Return Date,Num Adt,Num Cnn,Num Inf,Cabin Classes,Total Stops,ID,MarketingCarriers,Sessions ID,ID,Num Orders
2025-09-09 11:35:55,booking_co,booking,Washington,Bogota,Round-trip,2025-10-13,2025-10-26,1,0,0,Y,,4965,AV,1582122644166,2495928051,0
2025-09-09 11:19:55,booking_co,booking,Medellin,Lima,Round-trip,2025-12-14,2026-01-04,2,0,0,Y,,3478,JA,1582078933939,2495741400,0
2025-09-09 10:41:58,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,1,2448,AC,1582070833568,2495789040,0
2025-09-09 10:41:56,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,UA,1582070833568,2495597652,0
2025-09-09 10:41:53,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,WS,1582070833568,2495477707,0
2025-09-09 10:41:52,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,AF,1582070955105,2495798039,0
2025-09-09 10:41:51,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AA,1582070833568,2495352980,0
2025-09-09 10:41:47,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,"AM,UX,W4",1582070955105,2495708687,0
2025-09-09 10:41:37,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,1,2448,AC,1582070833568,2495765025,0
2025-09-09 10:41:29,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,AZ,1582070955105,2495735108,0
2025-09-09 10:41:17,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,AA,1582070955105,2495424664,0
2025-09-09 10:41:17,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,1,2448,AC,1582070833568,2495751040,0
2025-09-09 10:41:15,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,UA,1582070833568,2495261908,0
2025-09-09 10:41:10,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,WS,1582070833568,2495460388,0
2025-09-09 10:40:54,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,1,2448,AC,1582070833568,2495755066,0
2025-09-09 10:40:52,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,WS,1582070833568,2495442832,0
2025-09-09 10:40:51,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AM,1582070833568,2495511307,0
2025-09-09 10:40:49,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,BA,1582070955105,2495638245,0
2025-09-09 10:40:49,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AM,1582070833568,2495471311,0
2025-09-09 10:40:45,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AC,1582070833568,2495735106,0
2025-09-09 10:40:44,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AA,1582070833568,2495438849,0
2025-09-09 10:40:42,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,"AM,UX,W4",1582070955105,2495782043,0
2025-09-09 10:40:42,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,AA,1582070833568,2495438848,0
2025-09-09 10:40:41,booking_co,booking,Seattle,Mexico City,One-Way,2025-09-11,,1,0,0,Y,,2448,UA,1582070833568,2495584633,0
2025-09-09 10:40:40,booking_co,booking,Rome,Mexico City,One-Way,2025-09-26,,1,0,0,Y,,2442,"AM,UX,W4",1582070955105,2495442830,0
