cohort_key,date,site,partner,ip,user_agent,rule_score,iso_score,botness,risk_band,n_events,night_share,top_signature_share,repeat_ratio,gap_p50,max_run_lt_1s,cookie_rate,referrer_rate,http11_share,http2_share,ladder_sweep,hourly_entropy
2025-09-05|booking_br|booking|190.115.65.140|Chrome,2025-09-05,booking_br,booking,190.115.65.140,Chrome,0.43812546210630504,1.0,0.7190627310531525,Medium,5,1.0,0.0,0.0,12.5,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_fr|booking|37.165.22.192|Safari,2025-09-05,booking_fr,booking,37.165.22.192,Safari,0.4322921287729718,0.9923217247483286,0.7123069267606502,Medium,5,1.0,0.0,0.0,16.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_nl|booking|77.167.160.110|Chrome,2025-09-05,booking_nl,booking,77.167.160.110,Chrome,0.42979212877297174,0.9921577467013789,0.7109749377371753,Medium,5,1.0,0.0,0.0,17.5,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_se|booking|90.238.43.18|Safari,2025-09-05,booking_se,booking,90.238.43.18,Safari,0.4389587954396384,0.9796925458929927,0.7093256706663156,Medium,5,1.0,0.0,0.0,12.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_de|booking|212.51.10.110|Safari,2025-09-05,booking_de,booking,212.51.10.110,Safari,0.4256254621063051,0.9899212037381138,0.7077733329222095,Medium,5,1.0,0.0,0.0,20.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_us|booking|157.191.45.86|Safari,2025-09-05,booking_us,booking,157.191.45.86,Safari,0.4422921287729718,0.9678319101813191,0.7050620194771454,Medium,5,1.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_de|booking|2.241.249.182|Android WebKit Browser,2025-09-05,booking_de,booking,2.241.249.182,Android WebKit Browser,0.41395879543963837,0.9772993040670765,0.6956290497533575,Medium,5,1.0,0.0,0.0,27.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_de|booking|178.202.190.183|Safari,2025-09-05,booking_de,booking,178.202.190.183,Safari,0.41395879543963837,0.9746297368975764,0.6942942661686073,Medium,5,1.0,0.0,0.0,27.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_mt|booking|77.71.138.69|Safari,2025-09-05,booking_mt,booking,77.71.138.69,Safari,0.4406254621063051,0.9418749389978726,0.6912502005520889,Medium,5,1.0,0.0,0.0,11.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
2025-09-05|booking_nl|booking|80.60.218.118|Safari,2025-09-05,booking_nl,booking,80.60.218.118,Safari,0.4430628821721081,0.9357592791482471,0.6894110806601776,Medium,6,1.0,0.0,0.0,10.0,0,0.0,0.0,0.0,0.0,False,7.626007666637631e-08
